State,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2006,2007,2008
AK,2,1,0,0,1,0,2,0,4,0,2,0,1,1,0,1,0,2,1
AL,13,15,11,16,11,17,13,6,4,4,2,1,4,2,3,5,6,18,9
AR,2,0,1,2,0,3,1,1,1,2,1,2,0,2,2,5,7,6,5
AZ,4,6,8,4,6,6,5,5,10,3,11,6,7,5,7,12,7,9,14
CA,17,25,20,13,18,25,28,19,26,21,20,29,26,26,29,28,63,78,61
CO,2,8,4,6,6,9,6,8,7,10,9,2,6,7,6,7,8,9,19
CT,2,5,0,2,1,4,3,7,3,3,4,3,0,0,0,3,5,6,10
DC,5,4,5,4,2,2,6,2,5,1,4,2,5,6,3,7,9,7,5
DE,1,1,3,4,2,5,0,3,3,0,3,4,3,4,5,1,12,6,12
FL,17,26,25,29,29,35,32,24,41,29,25,26,18,28,19,22,71,95,81
GA,7,10,6,8,8,6,10,9,9,10,15,12,7,10,5,4,13,13,10
HI,0,0,0,0,0,0,1,0,4,0,2,1,2,3,4,0,2,2,2
IA,1,3,2,2,2,4,1,2,2,3,2,3,1,2,7,4,4,9,6
ID,0,1,1,2,0,0,0,0,0,1,3,3,0,1,1,3,5,1,1
IL,16,16,20,21,16,12,12,15,17,17,5,12,11,18,9,8,45,50,50
IN,11,10,10,8,2,7,3,5,3,7,6,4,7,7,5,4,12,10,15
KS,5,3,3,4,6,10,5,7,9,9,5,6,8,10,8,3,18,21,15
KY,1,1,4,1,3,2,2,2,2,1,1,3,1,2,2,1,4,2,5
LA,5,4,4,7,4,10,10,6,2,7,6,5,4,8,6,5,12,15,14
MA,19,9,5,5,6,16,13,13,12,7,10,8,11,7,7,9,32,44,27
MD,11,7,13,14,6,16,8,3,3,5,16,6,11,4,11,10,32,43,29
ME,3,5,4,3,3,0,1,3,0,2,2,3,5,5,2,2,10,8,9
MI,21,25,17,23,22,22,33,27,23,24,19,18,16,17,23,17,44,76,100
MN,5,3,4,7,8,6,6,3,5,7,5,7,4,10,8,9,22,12,22
MO,12,18,10,22,7,11,11,18,11,13,8,7,16,20,14,16,37,35,37
MS,2,0,1,1,7,4,7,3,4,4,3,2,1,1,0,1,5,4,11
MT,0,2,0,0,0,2,1,0,0,2,1,0,1,1,0,0,4,1,2
NC,12,15,13,15,9,14,11,12,12,21,13,16,21,15,26,19,24,49,36
ND,0,1,0,3,1,0,1,2,1,2,0,3,2,0,0,4,6,1,2
NE,0,3,3,2,0,0,4,2,3,2,2,0,1,4,1,2,4,6,0
NH,3,2,1,1,4,2,3,0,0,2,1,0,3,3,6,1,6,7,6
NJ,11,11,14,12,10,12,10,9,18,19,4,8,13,15,9,18,36,26,38
NM,0,1,0,1,1,0,1,0,2,0,2,0,1,1,3,0,0,5,10
NV,1,0,0,0,0,0,0,2,4,3,0,1,2,5,4,3,2,6,3
NY,19,23,15,25,20,20,23,22,28,22,23,24,19,22,12,24,86,84,59
OH,14,16,6,5,6,9,10,4,10,4,15,13,12,15,12,13,25,23,40
OK,1,1,3,2,1,5,7,4,6,6,5,9,5,7,4,3,7,4,7
OR,2,2,5,0,2,2,4,0,1,3,1,1,2,0,1,2,7,5,9
PA,39,41,39,31,40,34,29,29,38,44,43,30,40,38,49,33,112,112,142
PR,1,1,1,2,0,0,1,4,9,5,3,0,1,2,1,0,3,6,4
RI,0,3,2,3,0,1,0,3,1,2,2,1,1,4,2,4,10,6,7
SC,3,2,1,1,0,0,1,1,0,0,0,1,2,0,1,0,18,20,11
SD,3,0,0,2,1,2,0,1,1,1,1,1,1,0,1,0,0,0,1
TN,10,8,7,10,9,3,10,7,3,19,5,5,7,14,17,17,12,21,21
TX,17,10,15,15,11,13,13,20,14,22,27,16,22,20,18,28,31,46,45
UT,7,8,6,7,3,0,1,4,7,8,7,7,4,9,5,2,11,11,25
VA,12,8,9,6,13,8,7,9,11,9,6,12,14,16,24,14,29,29,39
VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VT,0,3,1,0,3,0,0,0,1,0,1,1,1,1,3,2,4,2,6
WA,2,3,3,4,1,5,7,6,2,9,9,15,11,8,7,9,26,16,15
WI,5,18,13,17,12,10,20,11,13,18,13,14,12,15,16,10,41,66,59
WV,7,7,3,7,9,3,1,3,3,7,7,3,8,7,7,5,13,12,11
WY,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1
