State,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2006,2007,2008
AK,7,7,5,9,4,8,5,3,6,3,5,8,3,9,5,4,5,16,27
AL,23,17,10,17,18,23,25,25,16,29,23,31,31,26,15,24,113,137,122
AR,25,15,19,16,14,12,25,14,17,8,24,14,10,17,20,17,79,76,60
AZ,18,20,29,25,30,24,20,23,24,42,32,40,24,37,25,26,106,134,110
CA,183,178,165,187,161,149,178,183,193,167,191,189,170,184,194,175,794,726,744
CO,19,22,21,26,23,26,24,20,24,28,29,19,20,30,21,21,95,76,89
CT,9,8,6,14,12,19,18,14,11,16,12,6,13,7,17,17,62,44,53
DC,4,7,9,11,7,6,10,8,6,8,13,8,5,11,6,7,48,36,40
DE,7,12,12,12,7,5,7,6,9,9,9,16,3,11,8,10,28,35,32
FL,103,92,108,112,101,102,111,112,109,96,117,125,124,123,105,115,432,458,461
GA,49,48,57,67,66,67,58,59,53,54,45,54,53,47,70,70,254,231,249
HI,4,12,10,5,9,12,5,7,17,7,10,6,14,8,12,14,24,19,35
IA,13,10,14,10,8,17,18,14,6,10,12,12,13,11,8,14,42,46,46
ID,4,4,6,6,6,5,8,7,5,3,8,9,5,11,8,5,34,20,16
IL,53,67,51,46,60,63,50,41,55,55,66,58,46,52,65,62,256,225,229
IN,32,30,28,26,36,39,35,39,40,37,37,29,36,47,41,22,143,132,137
KS,15,22,26,23,16,11,15,20,18,13,22,16,16,13,16,23,64,72,82
KY,21,10,22,20,20,31,26,21,19,21,21,15,23,14,13,16,81,76,85
LA,34,36,33,29,31,40,26,34,26,29,37,32,37,37,37,36,121,145,137
MA,15,31,23,20,23,16,22,19,20,27,22,24,28,18,22,19,72,76,71
MD,26,22,26,34,19,35,34,32,35,27,32,31,33,38,26,35,127,99,122
ME,5,9,7,1,5,6,5,8,3,6,3,7,6,6,3,7,41,26,27
MI,51,52,57,49,43,46,49,49,36,45,49,56,47,54,43,54,250,233,225
MN,30,21,33,17,17,26,18,23,18,26,20,17,14,15,24,24,102,95,88
MO,54,52,58,43,49,46,55,50,53,60,50,61,65,42,57,33,208,211,211
MS,23,17,23,16,12,18,15,9,14,19,15,13,19,22,16,18,62,64,71
MT,4,5,2,2,6,5,3,2,1,6,8,5,4,1,2,3,22,23,15
NC,50,49,56,64,57,58,68,48,40,64,44,65,53,51,52,61,225,205,235
ND,6,8,6,3,3,1,5,4,4,5,7,7,3,8,3,8,23,15,14
NE,11,10,12,4,9,10,9,10,10,4,5,10,13,7,8,4,48,40,33
NH,4,2,2,4,3,0,4,3,4,5,6,4,0,1,2,3,17,15,11
NJ,49,37,35,38,33,36,37,34,31,37,43,24,29,26,32,26,164,154,167
NM,14,14,9,12,8,10,9,12,10,9,7,16,8,7,8,6,34,33,32
NV,12,15,13,12,12,25,21,14,19,19,23,17,19,13,25,33,80,78,76
NY,75,82,88,87,70,85,72,60,62,75,81,68,65,66,75,63,373,377,305
OH,53,60,64,64,61,72,72,66,54,62,65,62,60,62,63,55,282,292,262
OK,20,13,16,25,16,15,19,14,18,20,17,18,14,16,19,26,60,105,76
OR,10,21,8,17,11,14,14,12,11,13,14,15,6,19,12,10,66,66,47
PA,88,102,85,95,70,93,74,103,84,76,89,86,79,72,79,83,351,363,368
PR,31,25,25,19,23,21,28,24,16,18,15,28,24,26,21,29,74,114,109
RI,1,7,4,2,4,0,4,4,3,3,4,6,4,2,3,4,15,22,8
SC,37,29,30,30,39,30,21,27,27,34,31,35,28,19,31,25,175,173,147
SD,10,3,5,5,4,7,3,7,2,8,8,4,2,4,7,2,21,21,20
TN,78,75,65,58,58,55,64,61,49,50,82,66,63,65,56,58,247,224,224
TX,154,133,141,128,155,160,145,129,130,137,146,145,153,150,132,135,600,624,594
UT,13,16,16,8,13,16,16,14,11,13,8,21,12,12,15,13,43,49,54
VA,40,35,33,40,36,35,38,43,30,39,33,35,50,40,45,32,147,132,144
VI,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
VT,1,1,2,1,3,0,2,0,3,3,1,3,1,1,3,0,6,6,3
WA,18,17,18,24,24,28,21,19,23,26,24,17,31,33,20,25,85,95,90
WI,35,31,32,33,22,29,30,39,29,44,38,30,28,24,39,34,141,134,151
WV,12,10,16,16,21,21,11,17,20,11,12,15,5,15,16,18,61,61,57
WY,0,3,2,1,1,1,1,4,2,2,1,1,2,2,2,0,12,8,6
