State,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2006,2007,2008
AK,11,9,8,10,7,11,6,5,8,4,7,9,3,9,6,6,17,30,40
AL,29,34,19,30,35,32,35,43,24,39,37,51,43,43,41,39,206,167,120
AR,29,23,29,24,22,17,28,22,22,13,32,22,14,24,24,22,115,123,94
AZ,23,37,45,34,45,43,37,34,36,51,39,53,37,50,36,39,199,192,174
CA,288,279,256,274,247,242,258,267,273,249,267,272,237,262,268,243,1220,1123,1154
CO,31,27,27,34,28,33,27,21,26,32,34,23,28,36,30,23,147,123,126
CT,22,18,9,21,12,27,23,19,19,21,19,10,23,10,21,21,92,81,81
DC,7,13,16,16,12,9,16,12,10,15,16,10,9,19,13,14,88,57,54
DE,11,16,13,14,8,8,9,12,13,17,10,18,8,15,11,11,46,47,44
FL,147,146,150,159,145,150,158,145,147,127,150,151,162,174,158,151,657,694,607
GA,74,70,80,100,89,94,79,78,76,76,62,65,77,80,94,98,403,327,333
HI,13,17,19,13,16,17,13,15,22,9,24,10,25,13,20,18,52,45,70
IA,16,13,16,12,10,19,22,20,7,13,15,13,17,14,9,16,64,64,57
ID,5,8,7,8,11,8,10,11,5,9,9,10,6,16,10,8,51,27,25
IL,68,80,64,69,79,86,65,52,70,71,84,73,62,70,83,79,331,314,321
IN,41,44,41,36,42,60,53,52,54,43,49,42,51,57,47,35,210,178,190
KS,16,31,32,25,19,13,21,27,21,17,28,20,18,14,20,30,89,93,105
KY,30,16,36,28,28,44,34,29,25,30,25,25,26,17,17,18,133,137,112
LA,48,63,52,48,42,52,33,38,30,36,45,42,45,42,48,49,220,255,253
MA,27,37,34,32,29,19,28,26,25,38,33,33,36,24,30,28,122,118,112
MD,47,31,47,46,33,49,49,40,42,44,48,48,45,53,36,45,186,167,173
ME,5,11,8,1,7,7,5,9,6,9,5,8,8,6,6,10,46,31,34
MI,68,69,74,70,60,66,64,63,53,57,70,75,60,73,62,71,372,337,319
MN,38,29,42,25,27,31,22,28,23,33,29,19,19,25,31,30,141,117,119
MO,69,69,69,60,66,55,68,65,66,72,66,73,75,65,84,51,293,287,294
MS,35,26,33,22,29,28,20,16,18,25,20,18,25,31,24,24,142,113,110
MT,6,8,3,3,6,7,5,3,1,8,9,7,7,2,4,6,30,31,19
NC,73,77,86,97,82,84,87,75,60,81,80,89,79,76,66,86,413,337,352
ND,9,11,7,5,6,2,8,7,7,5,8,9,7,11,6,12,31,22,24
NE,14,12,19,8,13,13,18,11,14,5,9,13,16,12,11,8,62,66,50
NH,5,4,3,4,3,0,7,4,5,6,8,4,0,3,2,4,23,18,14
NJ,68,54,50,54,54,48,53,48,46,52,58,40,41,34,44,39,271,199,238
NM,19,23,11,15,9,13,10,16,12,13,12,19,9,10,8,8,47,52,50
NV,21,26,17,16,17,31,28,20,28,27,35,26,31,22,33,44,109,110,117
NY,141,128,145,124,117,146,117,108,106,128,132,111,95,106,119,104,674,612,550
OH,76,88,86,89,87,92,96,86,72,86,82,84,77,82,94,66,414,420,363
OK,39,35,33,35,23,21,26,20,27,28,23,21,24,20,27,31,121,163,136
OR,12,23,17,21,13,18,19,12,16,18,22,21,9,22,23,15,89,86,62
PA,112,120,118,120,85,124,98,127,109,94,107,110,105,98,105,115,515,523,468
PR,34,26,28,20,25,25,34,27,23,26,21,36,35,30,27,38,107,126,126
RI,2,10,5,5,6,6,6,5,3,5,9,7,5,4,4,6,22,31,18
SC,45,41,44,45,56,40,32,39,38,43,45,40,36,27,44,38,236,238,207
SD,15,4,5,6,8,9,6,8,4,11,11,6,2,4,10,3,35,30,28
TN,108,111,89,91,76,78,82,89,74,79,105,85,92,85,70,72,402,366,336
TX,241,189,193,182,208,215,203,178,186,195,187,204,208,210,183,193,984,930,874
UT,19,22,20,10,14,21,20,16,13,19,10,24,14,14,16,15,59,62,73
VA,53,48,54,51,50,50,58,55,51,60,46,55,67,55,65,54,225,218,207
VI,1,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,2,2,0
VT,3,1,2,1,3,1,2,0,3,3,1,3,1,1,4,1,7,7,6
WA,31,27,28,30,32,36,30,31,32,32,31,25,37,38,31,41,135,151,143
WI,40,41,42,42,28,38,41,55,37,54,45,38,31,30,44,41,191,180,182
WV,13,16,19,20,28,28,14,20,23,13,21,21,7,16,17,18,93,90,70
WY,0,3,3,1,2,1,1,5,2,3,1,1,2,3,2,1,15,10,7
