,2006,2007,2008,2009,2010,2011,2012
Alabama,4628981,4672840,4718206,4757938,4784762,4803689,4822023
Alaska,675302,680300,687455,698895,714046,723860,731449
Arizona,6029141,6167681,6280362,6343154,6410810,6467315,6553255
Arkansas,2821761,2848650,2874554,2896843,2922750,2938582,2949131
California,36021202,36250311,36604337,36961229,37334410,37683933,38041430
Colorado,4720423,4803868,4889730,4972195,5048472,5116302,5187582
Connecticut,3517460,3527270,3545579,3561807,3576616,3586717,3590347
Delaware,859268,871749,883874,891730,899824,908137,917092
District of Columbia,570681,574404,580236,592228,604989,619020,632323
Florida,18166990,18367842,18527305,18652644,18845967,19082262,19317568
Georgia,9155813,9349988,9504843,9620846,9714748,9812460,9919945
Hawaii,1309731,1315675,1332213,1346717,1364274,1378129,1392313
Idaho,1468669,1505105,1534320,1554439,1570784,1583744,1595728
Illinois,12643955,12695866,12747038,12796778,12840459,12859752,12875255
Indiana,6332669,6379599,6424806,6459325,6489856,6516353,6537334
Iowa,2982644,2999212,3016734,3032870,3050321,3064097,3074186
Kansas,2762931,2783785,2808076,2832704,2858837,2870386,2885905
Kentucky,4219239,4256672,4289878,4317074,4346655,4366814,4380415
Louisiana,4302665,4375581,4435586,4491648,4544125,4574766,4601893
Maine,1323619,1327040,1330509,1329590,1327585,1328544,1329192
Maryland,5627367,5653408,5684965,5730388,5787998,5839572,5884563
Massachusetts,6410084,6431559,6468967,6517613,6563259,6607003,6646144
Michigan,10036081,10001284,9946889,9901591,9877670,9876801,9883360
Minnesota,5163555,5207203,5247018,5281203,5310737,5347299,5379139
Mississippi,2904978,2928350,2947806,2958774,2969137,2977457,2984926
Missouri,5842704,5887612,5923916,5961088,5996092,6008984,6021988
Montana,952692,964706,976415,983982,990735,997667,1005141
Nebraska,1772693,1783440,1796378,1812683,1829696,1842234,1855525
Nevada,2522658,2601072,2653630,2684665,2703758,2720028,2758931
New Hampshire,1308389,1312540,1315906,1316102,1316843,1317807,1320718
New Jersey,8661679,8677885,8711090,8755602,8803388,8834773,8864590
New Mexico,1962137,1990070,2010662,2036802,2064767,2078674,2085538
New York,19104631,19132335,19212436,19307066,19399242,19501616,19570261
North Carolina,8917270,9118037,9309449,9449566,9559048,9651103,9752073
North Dakota,649422,652822,657569,664968,674363,684740,699628
Ohio,11481213,11500468,11515391,11528896,11538290,11541007,11544225
Oklahoma,3594090,3634349,3668976,3717572,3759482,3784163,3814820
Oregon,3670883,3722417,3768748,3808600,3838212,3868229,3899353
Pennsylvania,12510809,12563937,12612285,12666858,12711308,12743948,12763536
Rhode Island,1063096,1057315,1055003,1053646,1052769,1050646,1050292
South Carolina,4357847,4444110,4528996,4589872,4635835,4673348,4723723
South Dakota,783033,791623,799124,807067,816223,823593,833354
Tennessee,6088766,6175727,6247411,6306019,6356673,6399787,6456243
Texas,23359580,23831983,24309039,24801761,25242683,25631778,26059203
Utah,2525507,2597746,2663029,2723421,2775093,2814347,2855287
Vermont,622892,623481,624151,624817,625916,626592,626011
Virginia,7673725,7751000,7833496,7925937,8025105,8104384,8185867
Washington,6370753,6461587,6562231,6667426,6743636,6823267,6897012
West Virginia,1827912,1834052,1840310,1847775,1854019,1854908,1855413
Wisconsin,5577655,5610775,5640996,5669264,5689591,5709843,5726398
Wyoming,522667,534876,546043,559851,564367,567356,576412
Puerto Rico,3805214,3782995,3760866,3740410,3721208,3694093,3667084
